,,MATERIAL_ID,item,item,,position,qty,color_way,color_way,color_way,color_way
12,12.0,28.0,other,METAL EYELETS 8MM,LUK'S / ET04,HEM CORD EXIT,2 PER SIDE = 4,AL023 ALLOY (D),AL023 ALLOY (D),AL023 ALLOY (D),AL023 ALLOY (D)
13,13.0,29.0,other,CORD LOCK,# 1340089AA-0 (BKO1) (BUTTON),FRONT HOOD ADJUST,1 PER SIDE = 2,19-4006 TCX BLACK,19-4006 TCX BLACK,19-4006 TCX BLACK,19-4006 TCX BLACK
14,14.0,32.0,other,METAL DRAWCORD TIP,SEE PHOTO,FRONT HOOD DRAWCORD ENDS,1 PER SIDE = 2,AL023 ALLOY (D),AL023 ALLOY (D),AL023 ALLOY (D),AL023 ALLOY (D)
15,15.0,33.0,other,KEYCLIP,AS LAST YEAR PRODUCTION,RIGHT HAND POCKET,1,BLACK,BLACK,BLACK,BLACK
16,16.0,36.0,other,"GROSGRAIN 3/8""",,ATTACH HEM CORD LOCK,1 PER SIDE = 2,BLACK,BLACK,BLACK,BLACK
17,17.0,37.0,other,"GROSGRAIN 1/4""",,ATTACH KEYCLIP RIGHT HAND POCKET ,1,BLACK,BLACK,BLACK,BLACK
18,18.0,38.0,other,"GROSGRAIN: 3/4"" WIDE  (FOLD IN 1/2, 1/2"" FINISHED TAB LENGTH)",,LINING POCKET,1,BLACK,BLACK,BLACK,BLACK
19,19.0,39.0,other,"GROSGRAIN 3/4"" X  3 1/2"" FLAT WEBBING (FINISHED LENGTH)",,POWDER SKIRT - SIDE TABS JACKET TO PANT CONNECTION ,2,BLACK,BLACK,BLACK,BLACK
20,20.0,40.0,other,"SHELL FABRIC TAB  1"" X 1"" WRAP AROUND ",,JACKET TO PANT CONNECTION CENTER BACK ON TAB,1,SHELL,SHELL,SHELL,SHELL
21,21.0,41.0,other,"SHELL FABRIC TAB  1"" X 1"" WRAP AROUND ",,JACKET TO PANT CONNECTION CENTER BACK UNDER SNAP ON GRIPPER ELASTIC,1,SHELL,SHELL,SHELL,SHELL
22,22.0,42.0,other,"SHELL FABRIC TAB 3/4"" X  1"" ",,JACKET TO PANT CONNECTION AT SIDE TABS UNDER SNAPS,1 PER SIDE = 2,SHELL,SHELL,SHELL,SHELL
23,23.0,43.0,other,"ELASTIC 1"" X 4""",,POWDER SKIRT MIDDLE TAB - JACKET TO PANT CONNECTION ,1,BLACK,BLACK,BLACK,BLACK
24,24.0,44.0,insulation,ELASTIC ,,BACK OF SLEEVE CUFFS,1,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
25,25.0,45.0,other,"ELASTIC 1/4"" ",,LINING CABLE GUIDE,1,BLACK,BLACK,BLACK,BLACK
26,26.0,46.0,other,GRIPPER ELASTIC 25mm NON LOGO,MTT0022,POWDER SKIRT HEM,1,BLACK,BLACK,BLACK,BLACK
27,27.0,47.0,other,ELASTINE BINDING,,GOGGLE POCKET BINDING,1,BLACK,BLACK,BLACK,BLACK
28,28.0,48.0,insulation,HOOD DRAWCORD,"CW17-022
CHUN WO HO
SOLUNA PLEASE SOURCE SHOELACE TYPE DRAWCORD QUALITY AS PER PHOTO ON PAGE 2 OF DRAWING",HOOD,1,19-1540 TCX RUST,19-4006 TCX BLACK,19-4010 TCX INK,19-0515 TCX MILITARY 
29,29.0,52.0,other," 1/2"" X 5 1/2"" (1/2"" SHORTER THAN POCKET LENGTH) VELCRO WITH ROUNDED CORNERS",PAIHO / Loop#1057 / HookETN7,LINING POCKET,1,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
30,30.0,53.0,other,"1"" X 3 3/4"" VELCRO WITH ROUNDED CORNERS",PAIHO / Loop#1057,CUFF ON BODY,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
31,31.0,54.0,other,"1"" X 2 1/2"" VELCRO WITH ROUNDED CORNERS",PAIHO / HookETN7,CUFF ON TAB,1 PER SIDE = 2,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
32,32.0,57.0,other,SEAMS,10-12 SPI,30 / 2,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
33,33.0,58.0,other,TOPSTITCH,8-10 SPI,30 / 2,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
34,34.0,59.0,other,BARTACKS,,100 / 2,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
35,35.0,60.0,other,SLEEVE GAITER COVER STITCH,MUST BE STRETCH THREAD,,,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL,MATCH TO SHELL
36,36.0,63.0,other,10K/10K CRITICALLY TAPED,SOLUNA/ MAIN LABEL,CENTER BACK BELOW NECK SEAM,1,10K/10K CRITICALLY TAPED,10K/10K CRITICALLY TAPED,10K/10K CRITICALLY TAPED,10K/10K CRITICALLY TAPED
37,37.0,67.0,other,MENS JACKET HANG TAG,SOLUNA/ MENS JACKET HANG TAG,LEFT SIDE HAND POCKET ZIPPER,1,MENS JACKET HANG TAG,MENS JACKET HANG TAG,MENS JACKET HANG TAG,MENS JACKET HANG TAG
38,38.0,71.0,label,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,ADDRESS LABEL,ADDRESS LABEL,ADDRESS LABEL,ADDRESS LABEL
39,39.0,72.0,label,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,CONTENT LABEL,CONTENT LABEL,CONTENT LABEL,CONTENT LABEL
40,40.0,73.0,label,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,WASHING LABEL,WASHING LABEL,WASHING LABEL,WASHING LABEL
